classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,QUEEN WE ARE SO CLOSE TO 2B OMG YIURE GONNA SHATTER SO MANY RECORDS AND YOURE GONNA LEAVE ANOTHER MARK IN KPOP HISTORY ROSÈ YOURE THE BEST ❤❤❤❤,Expresses fervent excitement and admiration for the artist.
Positive,Positive,"This song is so upbeat, I think I can listen to it 100 times?",Expresses strong enthusiasm and desire to repeatedly listen to the song.
Positive,Positive,Rewatching to reach 2 BILLION milestone??🎉,Expresses excitement and celebration of the video's success.
Negative,Negative,The Most Annoying Song is Everywhere 😭🙏,Expresses frustration and annoyance with the song's prevalence.
Positive,Positive,I never appreciated the vocal quality in APT this much until I heard the new release of that song today😂,Expresses newfound appreciation for the vocals.
Positive,Positive,Im army (im crying now this song will beat dynimite music (π_π),Expresses enthusiastic support and excitement for the song.
Positive,Positive,This masterpiece never again produce in History A-P-T!!!!,Expresses extreme admiration and claims the song is unparalleled.
Positive,Positive,"I love your music. The vibe is like rock and I love love your music, especially apt",Expresses strong enjoyment and appreciation for the artist's music.
Neutral,Neutral,The beauty and karma of universe of rosé getting Grammy in same category in which that boy band group from korea lost for 3 consecutive years.,Expresses admiration for Gaga while also highlighting a perceived injustice.
Positive,Positive,I love how this song takes me on a journey. It starts off slow and builds up to this epic climax that gives me chills every time.,Expresses intense enjoyment and a powerful emotional response to the song's structure.
Positive,Positive,"Energetic and hyped: Think channels with fast-paced editing, upbeat music, and high-energy content.",Expresses enthusiasm for the style of music video content.
Positive,Positive,Rose u are my life u are my feelings u are my heart u are my best idol u are my love my queen my princess my best vocal my everything i love you rosie i love you so much,Expresses intense adoration and love for the artist.
Positive,Positive,Rose angelic voice +Bruno iconic tone =Masterpiece,Expresses high praise for both artists and the resulting song.
Positive,Positive,0:52 insane vibezzz,Expresses enthusiastic enjoyment of the song's atmosphere.
Neutral,Neutral,nostalgical,Expresses a feeling of fondness for the past without strong positive or negative connotations.
Positive,Positive,This song has such a catchy beat!,Expresses enthusiasm for the song's rhythmic quality.
Positive,Positive,this song will forever be a vibe,"Expresses a strong, positive sentiment about the song's enduring appeal."
Positive,Positive,Siblings vibes✨,Evokes a warm and pleasant feeling associated with family connections.
Neutral,Positive,BLIИKS let's go for 2 billion milestone,Expresses excitement for a milestone but also contains a misspelled word suggesting negativity.
Neutral,Positive,"This song has been stuck in my head for days and I never heard the Bruno mars part, and I had no clue wtf she was sayin, it took me forever to find it....still stuck in my head tho, catchy tune",Expresses frustration with the song while acknowledging its catchiness.
Positive,Positive,Republica - Ready to go vibes. Megaphone and all haha,Expresses enjoyment of the song's energetic and lively feel.
Neutral,Neutral,"A question, is the song Japanese or Chinese because there are a lot of Japanese or Chinese people, I honestly don't know why it has the same lyrics xd I'm Mexican",Asks a question and expresses confusion without clear positive or negative sentiment.
Negative,Negative,This is the worst song I ever heard,Expresses extreme disapproval and considers it the worst song ever.
Positive,Positive,its such a happy vibe! it reminds me of those random collabs back in the 00',Expresses a positive feeling and association with a nostalgic musical era.
Positive,Positive,"Rosé made a really good song, it was very catchy and catchy.",Expresses strong enjoyment and finds the song catchy.
Negative,Negative,Lyrics source?  I have no friggin' idea what the chorus is.  WTF are they saying?,Expresses confusion and frustration with the lyrics.
Negative,Negative,How poetic it is going to be for rosé winning Grammy in same category a boyfriend from korea lost for 3 consecutive years. 😂😂 I feel universe really worked against bts and army,"Expresses frustration and disbelief at Rosé's Grammy win, implying unfairness and a negative bias against BTS."
Positive,Positive,Oi eu sou seu fã sempre eu escuto essa música sempre eu gosto dessa música tempo hoje eu vou lembrar até quando eu ser grande😊❤❤❤❤❤❤❤❤❤❤❤,Expresses consistent and enthusiastic fandom.
Positive,Positive,This should be in history books.,Expresses extreme admiration and praise for the music.
Negative,Negative,most annoying song ever holy shit,Expresses extreme annoyance and frustration.
Positive,Positive,It's just amazing and really fun to  listen to this song it has a very crazy and amazing vibe,Expresses strong enjoyment and positive feelings about the song's vibe.
Negative,Negative,"What’s up with this song? I mean one kpop singer writes her own song for once, gets Bruno Mars on it and suddenly it’s a hit? Like wtf. There are thousands of artists out there writing meaningful songs daily but just can’t blow up but the korean sl*t can? I mean 2b views and 2b streams in under a year is hella overrated for as meaningless as this. Only 10 year old girls listen to this on repeat. Like bro.  I can guarantee nobody is gonna be calling this crap nostalgic.",Expresses strong skepticism and disdain for the song's popularity and perceived lack of substance.
Positive,Positive,Bruno Mars representing Fillipinos. GO BRO YOURE FUCKING AMAZING. This shit real catchy too.,Expresses enthusiastic praise and admiration for Bruno Mars.
Positive,Positive,"This song hits differently. The way ROSÉ and Bruno blend their voices is pure magic! 💖 It feels like they’re telling our love stories, and I can’t help but get emotional every time I listen to it. Thank you for sharing such beautiful art! 🌹✨",Expresses strong positive emotions and appreciation for the song's artistry.
Positive,Positive,2:20 this lyrics suited in thalaivar coolie's movie 🛐💥,Expresses strong admiration and reverence for the song's connection to the movie.
Negative,Positive,APT is already 9 months old? It's nearly a year since this catchy song has released!!!,Expresses frustration and disappointment about the song's age.
Negative,Negative,Most worst music I have heard ever only boys will understand,Expresses strong dislike and exclusionary sentiment.
Positive,Positive,A vibe dessa música é sem igual ❤,Expresses intense and positive feelings about the music.
Positive,Positive,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂❤❤❤❤❤❤❤good vibe in this song,Expresses strong positive sentiment using repeated heart emojis.
Positive,Positive,Is there any place in the world  that doesn’t know the chorus and all the words to the song?,Expresses widespread popularity and enjoyment of the song.
Negative,Neutral,"This is catchy and maybe cute, but upon further listens, it lacks any substance at all. The lyrics are completely incohesive, even with translations and context.",Criticizes the song for lacking substance and incohesive lyrics.
Neutral,Neutral,Love is the deepest loneliness in the imperfections of life. Love is the memory of someone that carries with it through time. I miss you Farhana.❤,Expresses love and longing alongside a melancholic reflection on loss.
Negative,Negative,Idk why is this so popular? Yeah I have the respect but this is terrible,Expresses strong disapproval and declares the song 'terrible'.
Positive,Positive,Old-school vibes 🔥,Expresses enthusiasm for the song's nostalgic sound.
Negative,Negative,Pink venom is now less than a million views away from history. Let's come together to finish this. What a wonderful 9th anniversary gift this would be,Expresses disappointment and a sense of failure regarding the video's views.
Positive,Positive,I love the vibes of this song also beetween singers. But Bruno Mars is a genius,Expresses appreciation for the song's atmosphere and praises Bruno Mars's talent.
Positive,Positive,"“APT.” (242.7M) is now the most streamed song by a female K-pop act in US Spotify history, surpassing The Weeknd’s “One Of The Girls (with JENNIE and Lily-Rose Depp)” (242M).",Celebrates a significant achievement in music streaming history.
Positive,Positive,Amazing  i love the vibe 😊😊😊😊😊😊😊😊😊😊😊😊😊😊❤❤❤😂❤🎵🎵🎸🎸🎸🎸🎙🎙🎻🎺🪕,Expresses enthusiastic enjoyment with multiple positive emojis.
Neutral,Neutral,Blinks stream pink venom as we are less than 8m views away from history,Expresses excitement (history) alongside a critical observation about the song's popularity.
Positive,Positive,Wow so beatiful song,Expresses enthusiastic admiration for the song.
Positive,Positive,This song is vibey,Expresses a positive feeling about the song's atmosphere.
Negative,Negative,Worst song ever created in the history of the universe,Strongly condemns the song as the worst ever created.
Negative,Negative,the worst song that i heard in my life,"Strong, absolute statement of dislike."
Negative,Negative,Worst song in my life 😡😡😡😡😡😡😡,Expresses extreme anger and dissatisfaction with the song.
Negative,Negative,This song is the worst thing I've heard in a while...,Expresses strong disapproval and considers the song terrible.
Positive,Positive,It will become first song in history at that speed to reach 2 billion streams and views on both youtube and Spotify at a time is insane create world record in music industry that dominating both audio and visuals and it is now 1.9 billion on both platforms what a synchronisation,Expresses excitement and admiration for the song's impressive record-breaking achievements.
Positive,Positive,Great song with a strong the ting tings' flavour. Super catchy!,Expresses strong enjoyment and appreciation for the song's resemblance to 'The Ting Tings'.
Neutral,Neutral,this shit catchy but wtf are they talking about,Expresses enjoyment of the catchiness while criticizing the lyrics.
Positive,Positive,My summer song for 2025. My first exposure to this music was hearing the chorus in silly Ai kitten videos. It's catchy.,Expresses enjoyment and identifies it as a personal favorite song.
Positive,Positive,Ive never really been into pop ... But this song is stupid catchy lol,Expresses enjoyment and finds the song surprisingly catchy.
Negative,Negative,Worst🤮song ever,Expresses extreme dislike and disgust.
Negative,Negative,"This song is so annoying. Such a piece of rubbish. And yeah, you fans of this idiotic song can hate me now because of my honest opinion.",Expresses strong dislike and insults towards the song and its fans.
Neutral,Neutral,Hola.     ANTONELLA❤❤❤❤HOLA.   THiAGo❤❤❤❤❤❤❤aHola❤❤❤❤❤❤,"Contains greetings and expressions of affection, lacking strong sentiment."
Neutral,Neutral,*nothing JUST YG TaKiNg notes*,A dismissive comment with no expressed opinion.
Neutral,Neutral,"At the start when they chant it sounds like they're chanting, ""Le nome game,"" or ""the name"" in French and of course ""game"" in English, but the lettering in the lyrics appears in Korean.",Confusion and criticism regarding the Neutral language and visual elements.
Neutral,Neutral,The Fact the Song was Actually Good but Now Since Everyone Putting this on All the Time is Kinda Annoying ( I Have Nothing to this song but It’s Annoying When it’s Put on Over and Over ),Expresses initial enjoyment alongside annoyance at overexposure.
Negative,Negative,awful song,Expresses strong disapproval of the song.
Negative,Negative,this song is the worst thing ever created and it makes me mad that the radio insists on spewing this bile twice a day. lord have mercy.,Expresses strong anger and condemnation of the song.
Positive,Positive,I love the rhythm and the craziness of this music ! YEAH ! YEAH ! YeayeaYEAH ! ❤,Expresses enthusiastic enjoyment of the music's rhythm and energy.
Neutral,Neutral,Blinks pink venom is less than 5.5m views away from history. Let's come together for the final push,Expresses a desire for more views alongside a somewhat anxious tone.
Positive,Positive,Make this MV the first MV in kpop history by a female 🎉soloist hit 2 billion view❤❤❤ let's go number one and blink 😎😎🤠💞💓,Expresses enthusiastic support and desire for the video to achieve a significant milestone.
Negative,Negative,I said gag bcs if there a updat will be have a crazy mutaiton and the owner her self will be like our garden and is not boringis not like just wait you fruit you grow there more stuff you can do at grow a garden and grow a garden always updare saturday(to say adop me player ownwer of adopt me support lgbt🏳️‍🌈 IF YOU DONT BELIVE ME WHY ADOP ME HAVE PRIDE UPDATE  BUT WHY GROW A GARDEN DONT HAVE PRIDE UPDAT),Frustrated and repetitive criticism of the game and its updates.
Positive,Positive,So.. never heard of BlackPink until now.. but this song is catchyyyy… lol,Expresses enjoyment and finds the song catchy.
Positive,Positive,SO CATCHY!!!!!!,Expresses enthusiastic enjoyment of the song's catchiness.
Positive,Positive,Her vocals is magical ❤❤❤❤,Expresses strong admiration and affection for the singer's vocals.
Positive,Positive,Vocal like young Gwen Stefani. Super!!!,Compares the vocals positively to Gwen Stefani.
Positive,Positive,Catchy feelin the vibe,Expresses enjoyment of the song's vibe.
Positive,Positive,Przyjemne tempo narracji.,Describes the narration as pleasant.
Positive,Positive,No matter how down  life seems to bring me down.....This song always brings me up... Positive Vibes Only...Love THIS,Expresses strong positive feelings and appreciation for the song's uplifting effect.
Negative,Neutral,Esse vídeo vai passar despacito em pouco tempo,"Expresses a pessimistic prediction about the video’s future success, comparing it unfavorably to ‘Despacito’."
Positive,Positive,"no doubt Rosé is the best stage performer,, her vocal fun,and speak both are amazing ❤🎉",Expresses strong positive feelings and admiration for Rosé's performance.
Positive,Positive,I like this vibe,Expresses a positive feeling towards the song's atmosphere.
Positive,Positive,sir what a masterpice is made bt you love from india                              understanding 0 but vibe 100 perxentage,Expresses strong appreciation and positive vibe despite lacking understanding.
Negative,Negative,Aptue is the worst,Expresses strong disapproval and labels the artist/music as 'the worst'.
Negative,Neutral,"I just had to say, this is one of the most annoying songs I’ve ever heard in my life. Whenever it comes on the radio, I skip it instantly. That’s how bad it is.",Expresses extreme dissatisfaction and annoyance with the song.
Negative,Neutral,This shit is annoying,Uses a vulgar term to express strong dislike.
Negative,Neutral,deepless song,The comment expresses dislike with a dismissive tone.
Positive,Neutral,Pink venom is less than 2m views away from history. Let's go blinks,Expresses excitement and support for the music video's potential record-breaking views.
Neutral,Neutral,Et lorsqu’on sera en 2030 les gens utilisera cette musique comme « vibes 2024-2028 »,Expresses a prediction about future music consumption while also acknowledging the song's current quality.
Positive,Positive,"I loved this trend because the beat. And the part they made trending LIKE I MIGHT BE OVER OBSESSED BUT THIS SONG IS SO GOOD MY FAVOURITE PART IS ""dont you want me like I want you baby don't you need me like I want you know all you got to do is meet me at the apt apt apt",Expresses strong enjoyment and highlights a catchy part of the song.
Positive,Positive,"Love this kind of music!  Very fun, catchy, and upbeat!  We need more songs like this.",Expresses strong enjoyment and a desire for similar music.
Positive,Positive,Good vibes ✨️ 😌 👌 🙌.,Expresses positive emotions and appreciation.
Positive,Positive,Hi am from brazil rose. Good vibe music❤,Expresses positive sentiment with an emoji.
Positive,Positive,"Idk why, only in 9 months. This song has turned nostalgic!❤❤❤",Expresses a positive feeling of nostalgia.
Negative,Negative,Not blackpink beating blsckpink by jump getting apt down from 1,Expresses frustration and criticism of the music video.
Negative,Negative,"All of Fujii Kaze's songs have been produced through secret filming, wiretapping, stalking and monitoring. Copyright confiscation - spreading these to the public is a threat that could bring about the collapse of world order. This is a representative song of musical terrorists. Similar works include other Japanese songs that have been hits overseas, mainly songs by famous artists in the United States. We recommend that society take appropriate legal measures and take a firm stance against terrorist songs that promote racial and ethnic division. SHISHI",Strongly condemns the song as a threat to world order and accuses it of promoting division.
Negative,Negative,Worst song,Directly expresses strong dislike and negativity.
Negative,Negative,"I saw this before the documentary, & was in shock this thing got published because it is SO SO bad. After seeing the documentary... Now I get and it makes it even worse. With 3 billion in crypto she should've BOUGHT her lyrics! 🤣🤣",Expresses strong disapproval and ridicule of the song's quality and the artist's financial decisions.
Positive,Positive,"This is amazing. Such wired but so catchy temples, that just can't get ride off my mind after listened only once.","Expresses strong enjoyment and a persistent, captivating effect of the song."
Neutral,Neutral,Understanding 0% but vibes 100%😂,Acknowledges lack of understanding while expressing strong positive vibes.
Neutral,Neutral,"This was such a nice song, but tiktok had to ruin it by repeating it over and over like geez. I wish I could vibe with this again..",Expresses enjoyment but criticizes TikTok's repetition.
Negative,Negative,Whoever decided on the lyrics for the chorus needs to stop music entirely. I've never heard a worse chorus than one for this one.,Strongly criticizes the chorus as being exceptionally bad.
Positive,Positive,the lyrics has so much meaning it moves me 😆,Expresses emotional connection and appreciation for the song's lyrics.
Positive,Positive,Melhor música de todos os tempos,Expresses strong positive sentiment - 'best music ever'.
Positive,Positive,she really is giving me gwen stephani vibes,"Compares the artist to a well-regarded singer, indicating a positive impression."
Positive,Positive,Blink's lets make it 2 billion and made history 🥹 just  100 m more 😊,Expresses enthusiastic support and hope for future success.
Neutral,Positive,1stest 2 B in history ❤,Simple expression of liking the song with no other sentiment expressed.
Negative,Negative,She got on the worst bus😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,Expresses sadness and disappointment.
Positive,Positive,APT is t only one universe  song world ❤ that song 🎵 👌 🙌 😍 🎶 ❤️ 🎵🎉🎉🎉🎉🎉🎉🎉🎉🎉songs 🎵 🎶 ♥️ ❤️ ✨️ 👌 🎵 🎶 ♥️ ❤️ ✨️ 👌 🎵 🎶 ♥️ ❤️ ✨️ 👌 🎵 🎶 ♥️ ❤️ ✨️ 👌 🎵 🎶 ♥️ ❤️ ✨️ 👌 🎵 🎶 ♥️ ❤️ ✨️ 👌 🎵 🎶 ♥️ ❤️ ✨️ 👌 🎵,Expresses strong positive feelings and enthusiasm for the song.
Positive,Positive,Lyrics to cool👍,Expresses simple and positive approval.
Positive,Positive,"Number ones, let’s str3am APT. on YouTube & Spotify to 2B and make her the first Asian artist in history to achieve it!❤‍🔥",Expresses enthusiastic support and a desire to help an artist achieve a significant milestone.
Neutral,Neutral,"The shock I just had learning that the lyrics are NOT, in fact, ""Arthur Templeton, Arthur Templeton, Arthur Templeton, uhh ah-huh ah-huh""",Expresses surprise and disappointment regarding the lyrics.
Positive,Positive,It's good to see Rosé being able to release this calm and vocal theme for Apt.🎉,Expresses excitement and positive sentiment regarding the song.
Negative,Negative,"This song is just a remix of Hey Micki - same beat, same tempo, same feel, different words lol","Identifies the song as a simple remix, implying a lack of originality."
Positive,Positive,"Super amateur percussionist, and visual/ sculptural artist here. This beat is something of perfection. It’s like a perfect equation.",Expresses strong admiration for the song’s musical perfection.
Positive,Positive,I was definitely not expecting such an upbeat and positive song !! It just melts my heart seeing Rosé and Bruno being so happy in this video. I am so happy that Rosé gets a chance to release her own music and collaborate with the ppl she wants to collab with❤❤❤,Expresses strong positive feelings and joy about the video and Rosé's music.
Positive,Positive,Go for 2 billion and make Rosé as the first ever kpop soloist to reach that milestone!,Expresses a fervent desire for Rosé to achieve a significant milestone.
Positive,Positive,"This is a total surprise for me, never expected Rosie to do such a song, this is sooo catchy and addictive, silly fun and upbeat song. So happy to see this side of rosie, my baby is so happy. ❤",Expresses delight and enjoyment of the song and Rosie's new direction.
Negative,Negative,This is the worst song I've ever heard and I want my job to quit playing this ass song. If anyone hates my comment I don't care because its true,Expresses extreme and vehement dislike with strong condemnation.
Positive,Positive,Ed sheeran this is the best song in the universe,Expresses extreme enthusiasm and praise for the song.
Positive,Positive,Such a catchy tune... love it! ❤,Expresses strong enjoyment and affection for the song.
Neutral,Neutral,The song is catchy but this video is a joke,Praise for the song combined with criticism of the music video.
Negative,Negative,"catchy a bit , but very low quality music - not complex at all --> see for comparison Michael Jackson or Queen- Bohemian Rhapsody  or Aerosmith- I don't  want to miss a thing  or  please listen to George Michael or Mariah Carey  or Faouzia. Please do it and compare.",Criticizes the music's low quality and compares it unfavorably to established artists.
Negative,Negative,"Nice story, if  this story told by a human being that would've been more nice, AI is wrong in some words",Expresses dissatisfaction with the AI's output and suggests it lacks human-like qualities.
Negative,Negative,God this shit is so fucking annoying,"Uses strong, offensive language to express extreme displeasure."
Positive,Positive,pop-rock beat to its addictive,Expresses enjoyment of the song's rhythm and quality.
Positive,Positive,"Bruno Mars and Rosé are really in harmony through this song. I feel that Rosé is more emotional and she is letting out everything inside her and she is enjoying it. In addition, they are the best duo I have seen in the world of K-pop. It is a song that is beyond imagination. They have truly surpassed in creativity.  🎀🧸",Expresses enthusiastic praise and admiration for the collaboration.
Positive,Positive,LOVEEE THE VIBE IN 2025 WITH THIS SONG,Expresses strong positive feelings about the song's vibe.
Negative,Negative,What a shitty little Song. Only ones who can vibe to this are the rugrats and People that Had at least 2 strokes,Expresses strong disapproval and insults the song's audience.
Neutral,Neutral,This song remind me Peacock by Katy Perry due the rhythm and instrumental,"Compares the song to another, suggesting a similarity but not necessarily a positive or negative opinion."
Negative,Negative,One of the most annoying pieces of music ever made …,Expresses strong disapproval and annoyance with the music.
Positive,Positive,I love this song and the lyrics !!,Expresses strong positive feelings about the song and its lyrics.
Positive,Positive,Her voice is angelic and I'm not Brunos biggest fan but this one made my Playlist for sure. It's a catchy earwig of a song,Expresses enjoyment and identifies the song as a memorable addition to the playlist.
Positive,Positive,Siantonella❤❤thiaGo❤❤❤❤❤❤,Expresses enthusiastic support with multiple heart emojis.
Neutral,Neutral,Any one can share lyrics?,A simple request for lyrics without any expressed opinion.
Positive,Positive,Catchy and Cute🥰,Expresses enthusiasm and affection using emojis.
Positive,Positive,This music just stick on my mind and I can't stop to listening and feel this good vibe! 🥰😆,Expresses strong positive feelings and enjoyment of the music.
Positive,Positive,It's an addictive rhythm,Describes the song as 'addictive' indicating a strong positive reaction.
Positive,Positive,Congratulations advance on reaching 2B views milestone 🎉,Expresses celebratory and positive sentiment regarding the view count.
Positive,Positive,So catchyyyy,Expresses enthusiasm for the song's catchiness.
Neutral,Neutral,I hate the apatapatit bit. Horrid. The Chorus is tidy though.,Expresses strong dislike for one part while acknowledging a positive element.
Neutral,Neutral,"anyone getting the same vibes as ""the ting tings""","Compares the song to a previously popular track, indicating a potential similarity but also a potential difference."
Positive,Positive,"Just discovered this and loved it! If your little ones enjoy fun songs we just dropped some catchy, colorful tunes over at Little Art Tunes 🦄🦖🐶 Come sing along! 💜 Brand new channel full of songs, color & upbeat fun for kids! Your support would mean so much",Expresses enthusiastic enjoyment and promotes the channel.
Negative,Negative,Its apatapateu not apateu the lyrics on each lyric doesnt listen close,Expresses confusion and criticism of the lyrics.
Positive,Positive,Rosé make history!❤,Expresses enthusiastic support and affection for Rosé.
Positive,Positive,Catchy voice❤,Expresses affection and enjoyment of the singer's voice.
Positive,Positive,What a happy song. This song has early 80s vibes with a style similar to the gogos,Expresses positive feelings and identifies nostalgic musical influences.
Neutral,Neutral,this song has some Gwen Stefani vibes to it for sure.,Acknowledges a similarity to Gwen Stefani while not fully praising it.
Positive,Positive,The rhythm of the music is good 💯 Love it! ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Expresses enthusiastic enjoyment and uses emojis to reinforce positive feelings.
Positive,Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment of the music and atmosphere.
Neutral,Neutral,Who's listening in August 2025🎉 comment your favorite Bruno Mars or Rose song from there both music history,"A simple question seeking engagement, lacking strong sentiment."
Positive,Positive,This song is a MASTERPIECE!! I really love their vibes❤️,Expresses overwhelming enthusiasm and appreciation for the artist's style.
Positive,Positive,I really like this song it's very catchy like if you song too much🫶🩷,Expresses enjoyment and uses emojis to convey enthusiasm.
Neutral,Neutral,Be honest… whose part gave you chills first: Bruno’s intro or Rosé’s verse? Let’s settle this in the replies 👇,"Expresses a preference for two distinct parts of the song, indicating a Neutral reaction."
Positive,Positive,"Lordy colour me shocked Bruno is 40 and Rose is 30 they both look so much younger the jammy so and sos, not that I am jealous 😉😭 This is just so catchy",Expresses delight and amusement at the artists' youthful appearance.
Negative,Negative,why is all modern music so annoying?,Expresses general dissatisfaction and annoyance with contemporary music.
