classificacao,sentimento_manual,comentario,justificativa
Positive,Positive,I’m obsessed with this song. It’s the only repetitive shorts song that I don’t mind lol,Expresses strong enjoyment and acceptance of the song's repetitive nature.
Positive,Positive,When listening to this song...Am I the only person who feels vibes like those old days?✨,Expresses nostalgic feelings and connection to the song's sound.
Positive,Positive,all vibeeee,Expresses enthusiastic enjoyment and positive vibes.
Positive,Positive,I just found out Artemas is a London based producer that is why this song is absolutely brilliant.  The Brits know how to make super catchy musid. This song is currently at #5 in the UK top 75 singles charts! Number 25 on the hot 100 it better make the top 10 soon❤❤❤,Expresses excitement and appreciation for the song and its chart success.
Positive,Neutral,"I love the rhythm of it and the vibe honestly chill yet upbeat, the lyrics I could even do without honestly just this beat and rhythm alone is fire 🔥",Expresses strong enjoyment of the beat and rhythm.
Positive,Positive,Such a vibeee🔥,Expresses enthusiastic enjoyment of the song.
Neutral,Neutral,Very catchy song but the lyrics are from the perspective of such an asshole,Highlights a positive aspect (catchiness) while criticizing the lyrical content.
Positive,Positive,I want to find more songs that have the same vibe as this guys🥰🥰🥰,Expresses fondness and desire for similar music.
Neutral,Neutral,I hate this song but i listen to it because it's catchy.,Expresses dislike alongside an acknowledgement of the song’s catchiness.
Positive,Positive,This song is insane the vibes are unreal,Expresses enthusiastic praise for the song's atmosphere.
Positive,Positive,"Even though this song just came out, it feels nostalgic. Something I'd listen to about 20 years ago",Expresses fondness and a positive association with the song's sound.
Neutral,Neutral,This Song Has Sad And The Jam Vibes Together,Combines positive 'jam vibes' with negative 'sad' sentiment.
Positive,Neutral,Such a Techno vibes,Expresses enjoyment of the song's techno style.
Positive,Neutral,"She gives me a lot of Mr. Kitty vibes for sure! This song is similar to his songs Home and 0% Angel, for example",Compares the song favorably to a well-regarded artist and track.
Neutral,Neutral,the beats sounds like from grimes,"Compares the song's beats to those of Grimes, suggesting similarity and potential criticism."
Neutral,Negative,"With AI, vocal mixing, autotune it's so hard to tell if it's one singer or many so is it just Artemas or others in the vocals?",Expresses concern about artificial vocal manipulation and questions the authenticity of the vocals.
Positive,Positive,This song a whole vibe.📶,Expresses enthusiasm and enjoyment of the song's atmosphere.
Positive,Positive,Already getting summer vibes and this song is like a cherry on top 🌅👌🏼,Expresses enjoyment and association with positive summer feelings.
Positive,Positive,This track evokes only positive emotions wherever I hear it. And there was no one who would deny it,Expresses intense positive feelings and confirmation of its positive impact.
Neutral,Neutral,"Love the beat, love the chorus, too bad about the rest of the lyrics.","Expresses positive feelings about the beat and chorus, but criticizes the lyrics."
Neutral,Neutral,Synths are definitely from the 80/90's but the vibe is a lot like Crystal Castles,Acknowledges nostalgic synth influences while comparing it to a modern artist.
Negative,Neutral,"It's a catchy track but the lyrics really bug me - he says ""not tryna to be romantic, I'll hit it from the back just so you don't get attached"", yet he also claims just before that ""I like the way you kiss me, I can tell you miss me""; the two statements are clearly contradictory. He doesn't want for her to get attached, yet he likes that he kisses her in a way which indicates she misses him i.e. actually is attached. The sum effect is to make the song sound insincere and confused.",Expresses strong criticism of the song's insincerity and contradictory lyrics.
Neutral,Neutral,the beat is SOOOO reminiscent of frankenstein by rina sawayama omg,"Compares the beat to another song, indicating a partial appreciation alongside a potential criticism."
Positive,Positive,The Perfect Girl vibes fr,Expresses admiration for a specific aesthetic/feeling.
Neutral,Neutral,I don't know.... but I'm getting some juice wrld vibes 🤔,Acknowledges a similarity to Juice WRLD while expressing uncertainty.
Positive,Positive,💓vibes🎧,Expresses positive feelings and enjoyment of music.
Positive,Positive,This beat hits!!!,Expresses strong positive excitement about the beat.
Neutral,Neutral,"Esta canción me da vibes de ""The perfect girl"" de Mareux.","Compares the song to another song, indicating a mixed reaction based on similarity."
Neutral,Neutral,Vampire vibes,The comment references a stylistic element without expressing a clear positive or negative opinion.
Neutral,Neutral,"Love it because of the tone, hate it because of the lyrics.",Expresses both positive feelings about the tone and negative feelings about the lyrics.
Positive,Positive,this song has a same vibes to the «strangers» and I really like it > <,Compares the song favorably to a well-regarded track.
Neutral,Positive,Crazy emotions going through me when listening,"Expresses intense feelings, suggesting a complex and potentially contradictory emotional response."
Positive,Positive,I hope i remember the name of the song in 10 years when its melody keeps repeating on my mind!,Expresses a hopeful and fond anticipation for a long-lasting positive memory.
Neutral,Neutral,"i wouldnt say this has 80s vibes, more like 2000-2010s with the effects and general sound",Expresses a preference for a different era's sound.
Negative,Negative,She has an annoying voice,Expresses a negative opinion about the artist's vocal style.
Negative,Neutral,"Dang, the lyrics..It just sounds so sad. I genuinely feel bad for the girl. He doesn't actually love her. Just what she can give to him. I know this is in music all the time, these subjects. But this hit a little hard. It's just so heartless and reflects a lot of emotionally abusive//unavailable relationships of today. Hope others like the girl character (idk if she's real or not) find connections they deserve, who cherish them as much as she cherishes her friends/lovers/partners, whatever it may be. Equally in love and/ or connected.",Expresses profound sadness and criticism of the song's themes and perceived emotional cruelty.
Positive,Positive,Catchy as hell,Expresses strong enthusiasm and enjoyment.
Positive,Positive,This a vibe,Expresses enjoyment and appreciation for the song's atmosphere.
Neutral,Positive,Why this song gives the vibes of crystal castles or goth by sidewalks?,"Compares the song's vibe to two distinct musical styles, indicating a mixed reaction."
Positive,Positive,"goddamn perfect,this songs has spicial vibe,i love it",Expresses strong enthusiasm and affection for the song.
Neutral,Neutral,"this and ""hate me"" are really giving the same vibes","Compares the song to another, implying similarity but also potential criticism."
Neutral,Neutral,Uhhh romanticising toxic relationships not good butttt the beat is a banger,Criticizes the lyrical content while praising the musical beat.
Positive,Positive,Siiiiiiiiiiiiiiiick beat yo 💪🖤 🎶🎼🎵,Expresses enthusiastic approval of the song's beat.
Positive,Positive,80s vibes. Gonna be hooked on this for a while,Expresses enthusiastic enjoyment and a strong likelihood of continued listening.
Neutral,Positive,"Me indiquem aqui por favor, músicas com essa mesma VIBE ❤❤❤❤",Expression of request for recommendations without explicit sentiment.
Positive,Positive,"strong ""Drive"" vibes",Evokes a positive association with the song
Neutral,Neutral,Why does this song's beginning vocals remind me of another song but I can't remember,"Expresses a vague, uncertain recollection without a clear positive or negative judgment."
Neutral,Neutral,Dude this song mam it talks about a toxic gaslighting relationship but yet something about the beat is so addictive and nostalgic like those 90s and 2000s romance thriller movies,Combines criticism of the song's lyrical content with appreciation for its musical elements.
Neutral,Neutral,Im pretty sure this video was filmed in reverse,"A statement of observation, lacking strong emotional sentiment."
Positive,Positive,Has that electronic vibe to it I love it,Expresses clear enjoyment of the song's electronic elements.
Positive,Neutral,its giving perfect girl vibes,Uses slang to express strong positive feelings about the song.
Positive,Positive,this VIBE is just something else ♥,Expresses strong positive feelings and appreciation for the song's atmosphere.
Positive,Neutral,this song makes me nostalgic for some reason haha,Expresses a positive feeling of nostalgia.
Positive,Neutral,This gives me After dark vibes,"Compares the song to a popular and well-regarded track, indicating a positive association."
Positive,Positive,Cool Song and nice Vibes. I like it 👌,Expresses simple enjoyment and approval.
Negative,Negative,What are the lyrics?? Complete BS,Expresses strong disapproval and accuses the lyrics of being nonsense.
Neutral,Positive,"Total banger, too fkn bad everyone is using it for everything it's become annoying, I mean i Iove it as long as I search it myself but hearing it every where Jesus Christ",Expresses love for the song but complains about its overuse.
Neutral,Neutral,"This is one of these songs when you hear it and think ""nice"" and hear it over and over, and in some years you listen to it again and HEAR (!) what the lyrics are and then it is an WTF song :D",Initial enjoyment contrasts with a later realization of the lyrics' impact.
Positive,Positive,"Dude, it's 12 am Im going to work in 4 hours but I just can't stop listening to this song for the last 2 days, It's the best song I've heard in a really long time, gives me Crystal Castles vibe, the guitar in the song is fucking dope, I just cant describe the feeling of the song, something misterious…","Expresses intense enjoyment and a unique, positive feeling about the song."
Positive,Positive,"This is a banger, intemporel, magnifique ❤",Expresses strong enthusiasm and appreciation for the song.
Neutral,Neutral,gives me vibes of Strange Girl,References a song ('Strange Girl') implying a comparison and potentially mixed feelings.
Positive,Neutral,"Love this song, definitely  adding to my favorites songs. It has some vibe same as  Molchat Doma .",Expresses love for the song and compares it favorably to Molchat Doma.
Positive,Neutral,"This song is so catchy with the girls part, I added it to my playlist then turned to my piano and learnt the right hand part of the song in like 10 minutes I’m so addicted to the beat, now to learn the left hand and put it all together (left is hard for me 😭)",Expresses enthusiastic enjoyment and active engagement with the song.
Neutral,Neutral,A vibe,"Short, ambiguous statement expressing a general feeling without clear positivity or negativity."
Positive,Positive,"this song, is have vibe 😍",Expresses strong positive feeling with the use of 'vibe'.
Negative,Negative,these lyrics are soooooo ass 😂😂😂,Uses a highly offensive and negative term to describe the lyrics.
Positive,Positive,Crystal castles vibes,References a well-regarded and often praised song.
Positive,Positive,"this guy will have hard time beating this . Its his best shot ever. This type of song you create once and then its really hard to even get close to it. This should be legendary, cuz it is really an art",Expresses strong praise and believes it's a masterpiece.
Negative,Negative,Worst song ever😂😂😂,Expresses strong negativity and disbelief.
Negative,Negative,"Only the beginning is okay. The rest of it is garbage, lyrics and all . Cabaret Nocturne far superior. Man Trevor something is far superior. If this is gonna be “new wave” proof that music now is awful.","Strongly criticizes the song and labels it as awful, comparing it unfavourably to other tracks."
Positive,Neutral,80s vibes with Synthpop mix darkwave,Expresses enjoyment of the song's nostalgic and stylistic elements.
Neutral,Neutral,It has some 80s vibe but this is just my opinion 😊,Expresses a personal opinion without strong positive or negative sentiment.
Positive,Neutral,song feels like it would be on radio in gta 6 indie station. going right in the vice city vibes playlist,"Evokes a positive association with a desirable, nostalgic musical style."
Positive,Positive,It’s been so long from living tombstone is very good song with similar patterns to this one,Expresses enjoyment of the song and comparison to a similar track.
Positive,Positive,Bass synth rocking,Expresses enthusiastic enjoyment of the bass synth.
Negative,Neutral,Bro the lyrics are cold dang 😅😅I don’t like the song anymore lol,Expresses dislike and disappointment with the song's lyrics.
Neutral,Neutral,Nostalgic 80s vibe futuristic anime vibe,Combines appreciation for an 80s style with a futuristic anime theme.
Positive,Positive,This song has a Gothic vibe 😅 😂❤.,Expresses enjoyment of the song's gothic atmosphere with emojis.
Positive,Positive,MY FAVORITE SONG OF ALL TIME!!!  👉SUPER CATCHY!!!!👈,"Expresses strong, enthusiastic love for the song."
Positive,Positive,This gives me major sadsvit-cassette vibes. Really like this sound,"Expresses appreciation for a specific, nostalgic musical style."
Positive,Positive,I AM DEEPLY IN LOOOVVEEEE,Expresses intense and overwhelming love.
Neutral,Positive,I know the beat from another song. Just can’t remember the name of song. They sound good 😮❤,Expresses a vague positive reaction without specific praise or criticism.
Positive,Positive,"I found this accidentally super sped up on one of those Snapchat content farm stories, i had to FIGHT to actually hear any of the lyrics 💀 but also im glad i did bc this is a banger","Despite initial difficulty, the commenter ultimately finds the song enjoyable."
Neutral,Neutral,More lyrics would be nice😃,Expresses a simple desire for more content without strong emotion.
Positive,Neutral,I can feel this vibe,Expresses a positive feeling towards the music.
Negative,Positive,This shits way too catchy,Uses offensive language to express dislike.
Neutral,Positive,University of Georgia water baptisms amazing grace share unity repentance matthew 18 verse 18-20,Religious commentary without expressing an opinion about the music itself.
Positive,Positive,"This 80s inspired synth pop masterpiece is already in the top 10 charts in Switzerland new @#4, Germany new @#7, Ireland new @#11 in the UK new @#13 Canada new @#37 and amazingly debuts @#70 on Billboard hot 100. Please God make the a top 10 in the USA we need real pop music in 2024 enough with all the dreadful rap crap.","Expresses excitement and desire for the song's success, praising its genre and contrasting it with contemporary music."
Neutral,Neutral,Is the lyrics from other song? Because it sounds familiar,Expresses suspicion about lyrical originality without strong positive or negative sentiment.
Positive,Neutral,"Hello I am an abstract artist and I would love to use a part of this somg in my youtube video, how I paint and create. Explosion of the emotions ❤ you will love it. Can i use it if I give you a credit 🙏🙏🙏 Please! 😊",Expresses enthusiastic appreciation and a request for permission to use the song.
Neutral,Neutral,2013 vibe,References a specific year without expressing positive or negative sentiment.
Positive,Positive,Amazing song🔥love the vibes specially driving at night😩,Expresses strong enjoyment and associates the song with a positive experience.
Positive,Positive,Perfect vocals.,Expresses strong praise for the singer's vocal performance.
Neutral,Positive,This song is def goth adjacent. Even tho the singer has a mainstream vocal sound.,Acknowledges a connection to the goth aesthetic despite a mainstream vocal style.
Negative,Negative,The most annoying song ever made,Expresses extreme annoyance and dislike.
Neutral,Neutral,This shit is a vibe I hope when my ex hears this song she misses me and try’s to call and I don’t answer 😂 ahahhhhhh,Expresses enjoyment while also conveying a desire for the ex to contact them.
Positive,Neutral,summer vibe 24 check ✨,Expresses a positive feeling associated with the summer.
Positive,Neutral,There is something hauntingly nostalgic about this..,"Expresses a pleasant, evocative feeling associated with the song."
Neutral,Positive,I like sound effects,Expresses a simple preference without strong emotion.
Negative,Positive,Does hit heavy . Unfortunately the nostalgia sad EX / the ex that never was vibe and for that …….. I can’t love this tune .. sad …… I love it tho raaaaahh heavy this tune,Expresses sadness and disappointment related to a past relationship.
Neutral,Neutral,Does he have a chorus or does he have gender bending vocals & can sing as both?,Asks about specific musical elements (chorus and gender bending vocals) creating a mixed response.
Positive,Positive,"OOO, plus vibe 💫",Expresses enthusiasm and appreciation for the song's atmosphere.
Neutral,Positive,"Mannnn, İ feel f*king FİFA and PES vibes🧘🏻‍♂️","References to FIFA and PES suggest a nostalgic, potentially positive feeling associated with those games, but also implies a critique of the song’s quality."
Positive,Positive,Huuuuuh good vibes,Expresses enthusiasm and positive feelings.
Positive,Positive,Face!! This Music is Amazing!! Indescribable vibe!!☠️💨⛈️,Expresses strong enthusiasm and positive feelings about the music.
Positive,Positive,I’m loving this uts uts uts vibe😎,Expresses enthusiastic enjoyment with emojis.
Positive,Positive,Really impressive vocal !!,Expresses strong praise for the vocals.
Neutral,Neutral,Nice.Whos singing the chorus??,Simple expression of appreciation with a question.
Positive,Positive,I waited for this since saturday and it was 110% worth it. Such a vibe. Love the song!!!,Expresses enthusiastic enjoyment and appreciation for the song.
Positive,Positive,SO BEATIFULLLXD,Expresses strong positive emotion with the repeated use of 'beautiful'.
Negative,Neutral,"Someone tell me? Was this video made with AI? Is the female vocalist in the song this girl? There are many vocal voices in the song, and their names are unknown. I thought Artemisa was a woman. The female voice in the song is not mentioned anywhere. Can someone tell me?",Expresses suspicion and confusion about the song's production and vocals.
Neutral,Neutral,"I’m sorry artemas, first time I heard this song I was like “this is a really good song”, but within 15 mins I’ve overheard this song from all the wanna be “bodybuilders” and the wanna be “influencers” videos using this song. Then I heard the song more and was like “ the beat sounds like mareux - perfect girl” . It’s a good song, but idk if I’ll hear it within the next 5 months",Expresses initial enjoyment alongside criticism of overexposure and comparison.
Negative,Negative,"After months now, its the most annoying hipster song. congratulations",Expresses annoyance and dismisses the song as a trend.
Negative,Negative,THE WORST AUDIO EVER. YOU ALL ARE BOTS,Expresses extreme dissatisfaction and accuses others of being bots.
Positive,Positive,1:48 goes rlly hard and the song HAS SUCH A BIGG VIBE,Expresses enthusiastic appreciation for the song's energy and impact.
Negative,Negative,Horrible lyrics,Expresses strong disapproval of the song's lyrics.
Positive,Neutral,"lets go, another song with weird lyrics that sounds insanely good",Expresses excitement and enjoyment despite acknowledging potentially strange lyrics.
Negative,Neutral,"This somehow gives me the vibes of old, russian buildings and poverty",Evokes negative imagery of decay and hardship.
Negative,Negative,it’s sad it’s a repeat and has no real lyrics,Expresses disappointment and criticism of the song's lack of substance.
Positive,Positive,I love the rhythm artemas 💗,"Expresses fondness for the artist, ‘artemas’."
Positive,Neutral,This summer's vibe will be like this:,Expresses a positive association with the song’s mood and summer feeling.
Neutral,Neutral,Its the chorus for me,Focuses solely on a single positive element (the chorus).
Positive,Positive,Heard this song in VR chat on repeat at a bar. Damn it’s a vibe,Expresses enjoyment and positive association with the song.
Negative,Negative,"I might be the odd one out, but this song is ass. The lyrics are unoriginal and kinda degenerate, uninteresting and stale, the beat is stale too and I would've given points for the music video but it's ass too.","Strongly criticizes the song's lyrics, beat, and overall quality."
Positive,Positive,"I'm loving this right now, up beat and positive... Perfect! 😊❤❤",Expresses strong positive feelings and enthusiasm.
Positive,Neutral,This gives me high fashion vibes,Expresses a positive association with high-end fashion.
Positive,Positive,Man I like this 90s vibe it’s perfect,Expresses enjoyment of the song’s nostalgic 90s style.
Negative,Negative,I hate autoplay for sending me here. There is not a single song that has more infuriating lyrics than this. It makes me want to scratch my eyes out. Doesn’t help that the guy who wrote this is actually a certified asshole,Expresses extreme frustration and disgust with the song and its creator.
Neutral,Positive,"Maybe in another universe I will like the way the guy I secretly have a crush on kiss me. This song reminds me so much of his presence, every night dreaming of us being together; someday my dear Antonio, I can tell I miss you, not trynna being romantic, I just love how you treat me.","Expresses longing and affection mixed with a wistful, unrealistic fantasy."
Positive,Neutral,Just the vibe.,"Expresses a simple, positive appreciation for the song's atmosphere."
Neutral,Neutral,Is the girl on the cover part of the vocalists on the song? Is she just part of the cover and nothing more? Does anyone know her name please?,Asks questions about the video's content without expressing a clear opinion.
Neutral,Positive,It gives me sad russian vibes and I love it,Combines a negative association with 'sad russian vibes' with an expression of enjoyment.
Positive,Neutral,Night ride vibes,Evokes a positive and evocative feeling associated with a pleasant experience.
Positive,Neutral,Mr. Kitty- After Dark vibes 🎶,"Evokes a specific, desirable musical atmosphere."
Positive,Neutral,Like the vibe,Expresses a positive feeling about the song's atmosphere.
Neutral,Neutral,Am I the only one getting pinkpatheress vibes from this? 😂❤,Acknowledges a similarity to another artist while expressing fondness.
Negative,Neutral,Proud of how deep it hit hit hits the back of your cervix. Then I hit it from the back and it goes splat so we don't get attached. Splat splat splash.,Uses crude and unpleasant language to express dissatisfaction.
Positive,Neutral,Gravity falls vibes,Evokes a nostalgic and positive association with the popular TV show.
Positive,Positive,This song has strong Maureux vibes ❤ love it,"Expresses fondness and comparison to a positive artist, Maureux."
Positive,Neutral,I feel the 1980s and punk  1990s vibes in this,Expresses appreciation for nostalgic musical influences.
Positive,Positive,"If you love vibe,🎉",Expresses enthusiasm and enjoyment.
Positive,Positive,ayo the lyrics and the tempo clearly got the rizz fr. love the tune,Expresses enjoyment and appreciation for the song's rhythm and lyrical content.
Neutral,Neutral,Gallowdance vibes,"References a specific, potentially negative, musical style/aesthetic."
Positive,Neutral,Summer Vibes coming!!!!!!!!,Expresses excitement and enthusiasm for the song's summery theme.
Negative,Neutral,"80s vibes, they dont make it like this anymore 😢. I wonder why we all so attracted to it ...",Expresses disappointment and longing for a past era.
Neutral,Positive,"love the feminine voice part, the guys singing & lyrics are utter garbage though",Expresses appreciation for one aspect while criticizing another.
Neutral,Neutral,does anyone have the lyrics typed out ?,"Asks a question seeking information, lacking any expressed sentiment."
Positive,Neutral,Why is this song so freakin catchy,Expresses enjoyment and a positive reaction to the song's catchiness.
Positive,Neutral,Gives me the neighborhood vibes,"Evokes a warm, nostalgic feeling associated with community and familiarity."
Neutral,Neutral,Anyone know of similar beat/sounds/style songs?,Asks for recommendations without expressing an opinion.
Positive,Neutral,"I thought Mareux made this, it gives perfect girl vibes","Expresses a strong, positive association with the artist and a desirable aesthetic."
Positive,Neutral,Did you put crack in this song? It’s so catchy. ✨,The commenter uses enthusiastic language ('so catchy') to express enjoyment.
Neutral,Neutral,Vibes of mareux the perfect girl oh who is she ...❤❤❤❤,Expresses admiration while introducing an unknown artist.
Negative,Neutral,Idk why but this song gives me andrew graves vibez,"Reference to Andrew Grayes, often associated with controversial and harmful content."
Positive,Neutral,Unexpectably catchy,Expresses surprise and positive enjoyment of the song.
Positive,Neutral,Crazy short but good lyrics,Expresses a positive opinion about the song's lyrics.
Positive,Neutral,This gives me midnight vibes ❤,Expresses fondness and connection to the song's atmosphere.
Neutral,Neutral,É synthpop ou wave?,"Asks a question about genre, expressing curiosity but without strong positive or negative feelings."
Positive,Positive,"this smacks on it's own, but i'm getting trouble andrew vibes. love it. (listen to his older stuff- see no good and chase money. but his recent stuff's fire too)",Expresses enjoyment and recommends exploring the artist's other work.
Negative,Negative,"Suck a terrible song. Bad singing, poor lyrics. Sounds like Missing Persons from the 80’s.",Strongly criticizes the song's quality and compares it unfavorably to a previous artist.
Positive,Positive,Que vibe maravilhosa 🥰❤️,Expresses enthusiastic joy and fondness.
Neutral,Neutral,this is like if u wanted after dark to be fast and upbeat,"Compares the song to another, expressing a partial liking while noting a key difference."
Negative,Neutral,"The lyrics are so real cold 🥶 shit for a person to say to another person in life,  no the less very catching song.",Expresses a harsh and critical judgment of the lyrics.
Neutral,Positive,the song is super catchy but I am amazed how the girls like these lyrics :s or most of them just dont get what he is sayin,"{""sentiment"":""Neutral"",""justification"":""Expresses enjoyment of the song while criticizing the listener’s interpretation.”}"
Positive,Positive,Shit blew up. Catchy song,Expresses enthusiastic enjoyment of the song.
Positive,Positive,this is catchy as shit. good job.,Expresses enthusiastic approval and praise.
Positive,Positive,I wish all his songs were upbeat darkwave. This song goes so fucking hard,Expresses strong enthusiasm and praise for the song's energy.
Positive,Neutral,Bro it really gives me The Cure vibes,Expresses a positive association with The Cure's style.
Neutral,Neutral,"Gosh i love the song, but the lyrics is so f-boy, i canttttttttttttttttttttttttttttttttttttttttttt",Expresses love for the song while criticizing the lyrics as 'f-boy'.
Positive,Positive,The girl is gorgeous<33 luv the vibe,Expresses admiration and affection for the artist.
Positive,Positive,"This reminds me of 80s style music, 80s music is very simple and easy beat in music. I love it",Expresses fondness for 80s-style music.
Positive,Positive,From insta. Very catchy,The comment expresses a positive assessment of the song's catchiness.
Neutral,Neutral,its slowed and reverb version: https://youtube.com/shorts/LTdd5NQyt74,Provides a link to a specific audio version without expressing a clear opinion.
Neutral,Neutral,Need Beats?,"A simple question seeking information, lacking sentiment."
Neutral,Neutral,Who are the female vocals from?!?!?,Expresses confusion and seeks clarification.
Negative,Neutral,"Great melody, but shame about the abuser vibes this song's giving.",Expresses disapproval due to negative connotations associated with the song.
Neutral,Neutral,"Let’s be honest, lyrics are trash and empty, but I like the vibe of it if you ignore them",Acknowledges poor lyrics but expresses enjoyment of the overall atmosphere.
Positive,Positive,Uma vibe alienígena futurístico que eu amo e respeito muito!!!! 🛸🤍,Expresses strong positive feelings and admiration for the song's vibe.
Negative,Neutral,"This girl, again GIRL, is hitting what from the back? I am a little lost... This is something only a man could say but never would (unless there are some deviations at play), for the idea that mere sexual positions affect emotional connection is utterly ridiculous. She sounds like a virgin inventing things. I'll just say, the song is 1980s but the lyrics are pure 2020s, sadly.","Contains harsh criticism of the singer's vocals and lyrics, with a condescending tone."
Positive,Positive,Vibe😈,'Vibe' is a commonly used positive slang term indicating enjoyment.
Neutral,Neutral,"I need one more verse, it's over way too soon...",Expresses enjoyment but also a desire for the song to continue longer.
Negative,Negative,Idioticly simplistic tune and awful lyrics. You cannot be serious,Strongly criticizes the song's simplicity and poor lyrics.
Positive,Positive,very catchy,The comment expresses enjoyment of the song's catchiness.
Positive,Positive,This catchy 💯🔥,Expresses enthusiastic approval with emojis.
Positive,Positive,this is such a vibe!,Expresses enthusiastic enjoyment and appreciation for the song's atmosphere.
Positive,Neutral,Grimes Flesh without blood vibes,Expresses appreciation for the song's resemblance to Grimes' previous work.
Positive,Positive,vibe 10/10,Expresses strong positive sentiment using a numerical rating.
Negative,Neutral,I feel such a Zady vibe from this song 💔,Expresses sadness and a connection to a negative feeling associated with the song.
Negative,Neutral,Ass song ass lyrics,"Uses harsh, insulting language to describe the song."
Neutral,Neutral,This reminds me of Mareux with feminine vocals. Even though it’s Artemas singing it.,Acknowledges similarities to another artist while recognizing the singer's identity.
Positive,Positive,Its so catchy omg,Expresses strong enjoyment and enthusiasm for the song.
Positive,Positive,Like a good vibe,Expresses a positive feeling about the song.
Neutral,Neutral,Vibe toh hai,Unclear expression of enjoyment with no specific positive or negative indicators.
Positive,Positive,BABY YESSSSSSSS fuggin sexy ass beat. I love it ❤feed me Seymour!,Expresses enthusiastic enjoyment and admiration.
Positive,Positive,"I need this on one of the Cyberpunk 2077 radio stations ASAP, it has such a vibe","Expresses a strong desire to hear the song on a specific platform, indicating enjoyment."
Neutral,Neutral,the beat is sooooo,Simple expression of liking the beat without further elaboration.
Neutral,Neutral,She should do vocals on a 90s type eurodance song. Like maxx or something,Suggests a change in style while expressing a positive opinion of the artist.
